"ｺ-ﾄﾞ","中分類ｺ-ﾄﾞ","統合中分類(108部門)部門名","列ｺ-ﾄﾞ","基本分類列(397部門)部門名","和歌山県（百万円）","全国（百万円）","対全国比（％）"
"643_社会保険・社会福祉_6431-02_社会福祉（国公立）★★","643","社会保険・社会福祉","6431-02","社会福祉（国公立）★★","26280.0","1928978.0","1.3623794568937542"
"643_社会保険・社会福祉_6431-03_社会福祉（非営利）★","643","社会保険・社会福祉","6431-03","社会福祉（非営利）★","24860.0","3151020.0","0.7889508793977823"
"643_社会保険・社会福祉_6431-04_社会福祉（産業）","643","社会保険・社会福祉","6431-04","社会福祉（産業）","2482.0","790138.0","0.3141223431856207"
"644_介護","644","介護","","","91212.0","8238273.0","1.107173797226676"
"644_介護_6441-01_介護（施設サービス）","644","介護","6441-01","介護（施設サービス）","34585.0","3376947.0","1.0241499200313182"
"644_介護_6441-02_介護（施設サービスを除く。）","644","介護","6441-02","介護（施設サービスを除く。）","56627.0","4861326.0","1.1648467928297752"
"659_その他の非営利団体サービス","659","その他の非営利団体サー
ビス","","","62081.0","5165598.0","1.2018163240732245"
"659_その他の非営利団体サービス_6599-01_対企業民間非営利団体","659","その他の非営利団体サー
ビス","6599-01","対企業民間非営利団体","14996.0","1143088.0","1.3118849992301556"
"659_その他の非営利団体サービス_6599-02_対家計民間非営利団体（別掲を除く。）★","659","その他の非営利団体サー
ビス","6599-02","対家計民間非営利団体（別掲を除く。）★","47085.0","4022510.0","1.1705377985387233"
"661_物品賃貸サービス","661","物品賃貸サービス","","","24841.0","9788494.0","0.2537775473939096"
"661_物品賃貸サービス_6611-01_物品賃貸業（貸自動車を除く。）","661","物品賃貸サービス","6611-01","物品賃貸業（貸自動車を除く。）","18014.0","8385103.0","0.21483337771760228"
"661_物品賃貸サービス_6612-01_貸自動車業","661","物品賃貸サービス","6612-01","貸自動車業","6827.0","1403391.0","0.4864645704582686"
"662_広告","662","広告","","","4481.0","6078026.0","0.07372459413631992"
"662_広告_6621-01_広告","662","広告","6621-01","広告","4481.0","6078026.0","0.07372459413631992"
"663_自動車整備・機械修理","663","自動車整備・機械修理","","","73796.0","1.2588872E7","0.5862002568617743"
"663_自動車整備・機械修理_6631-10_自動車整備","663","自動車整備・機械修理","6631-10","自動車整備","40440.0","5935874.0","0.6812813075210155"
